timestamp,rotationRoll,rotationPitch,direction
2025-02-17 01:27:20.200498,9.0,-14.0,204.0
2025-02-17 01:27:20.207179,8.0,-13.0,205.0
2025-02-17 01:27:20.219825,9.0,-13.0,204.0
2025-02-17 01:27:20.220826,9.0,-13.0,204.0
2025-02-17 01:27:20.234405,9.0,-13.0,204.0
2025-02-17 01:27:20.236416,9.0,-13.0,204.0
2025-02-17 01:27:21.247390,9.0,-13.0,204.0
2025-02-17 01:27:21.252390,9.0,-13.0,205.0
2025-02-17 01:27:21.266390,9.0,-13.0,204.0
2025-02-17 01:27:21.268390,9.0,-13.0,205.0
2025-02-17 01:27:21.283390,9.0,-14.0,206.0
2025-02-17 01:27:21.284390,10.0,-14.0,205.0
2025-02-17 01:27:22.290264,10.0,-13.0,205.0
2025-02-17 01:27:22.316869,10.0,-14.0,204.0
2025-02-17 01:27:22.320959,10.0,-13.0,205.0
2025-02-17 01:27:22.341958,9.0,-14.0,205.0
2025-02-17 01:27:22.362959,9.0,-13.0,205.0
2025-02-17 01:27:22.377958,9.0,-13.0,205.0
2025-02-17 01:27:23.390775,9.0,-14.0,205.0
2025-02-17 01:27:23.397792,9.0,-13.0,205.0
2025-02-17 01:27:23.411331,8.0,-13.0,205.0
2025-02-17 01:27:23.412322,9.0,-12.0,204.0
2025-02-17 01:27:23.426322,9.0,-13.0,204.0
2025-02-17 01:27:23.428322,9.0,-14.0,204.0
2025-02-17 01:27:24.444741,9.0,-12.0,205.0
2025-02-17 01:27:24.448738,9.0,-13.0,204.0
2025-02-17 01:27:24.461738,8.0,-12.0,204.0
2025-02-17 01:27:24.463737,8.0,-12.0,204.0
2025-02-17 01:27:24.465737,7.0,-12.0,203.0
2025-02-17 01:27:24.477740,6.0,-12.0,203.0
2025-02-17 01:27:25.488806,5.0,-10.0,202.0
2025-02-17 01:27:25.495773,0.0,11.0,197.0
2025-02-17 01:27:25.507773,4.0,6.0,187.0
2025-02-17 01:27:25.509294,4.0,9.0,182.0
2025-02-17 01:27:25.522301,-5.0,26.0,174.0
2025-02-17 01:27:25.524301,-12.0,28.0,165.0
2025-02-17 01:27:26.530434,-16.0,29.0,159.0
2025-02-17 01:27:26.538446,-26.0,32.0,153.0
2025-02-17 01:27:26.551442,-17.0,30.0,150.0
2025-02-17 01:27:26.554358,-24.0,39.0,145.0
2025-02-17 01:27:26.566357,-18.0,36.0,149.0
